,R2 Square,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error
LinearRegression,0.3722506561860963,257.185685506062,457839.0451473931,676.6380458911493
Ridge,0.37225120157108604,257.17565616690916,457838.6473794855,676.6377519614801
Lasso,0.3722427950703585,257.0270175876215,457844.77852769627,676.6422825449916
ElasticNet,0.352901305635113,213.1950766507407,471951.18762557075,686.9870359952731
DecisionTreeRegressor,0.7072762096093086,131.59321333995857,213493.4620085085,462.05352721141355
GradientBoostingRegressor,0.9667902954392809,60.02563213312424,24220.972232850494,155.63088457260176
KNeighborsRegressor,0.9220719876695903,42.983487906892165,56835.56200763775,238.40210151682336
MLPRegressor,0.8935986100970589,116.63353668049507,77602.1691389605,278.5716588940097
RandomForestRegressor,0.9871553669702846,22.989723586106564,9368.029739170759,96.78858269016423
